"FIPS","RPL_THEMES","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
94102,0.9249,0.8877,0.4817,0.9069,0.994
94103,0.7982,0.661,0.2847,0.8988,0.9768
94104,0.8747,0.9595,0.4768,0.885,0.7216
94105,0.3756,0.1327,0.0594,0.8975,0.8808
94107,0.5944,0.2981,0.1412,0.8484,0.9702
94108,0.9169,0.8559,0.6831,0.9142,0.9574
94109,0.7959,0.6066,0.3366,0.8284,0.9874
94110,0.7025,0.5096,0.2281,0.8723,0.9421
94111,0.7347,0.5621,0.672,0.8777,0.703
94112,0.7854,0.5698,0.5524,0.9514,0.8792
94114,0.3252,0.1293,0.0868,0.7223,0.7611
94115,0.6246,0.285,0.3335,0.8353,0.9211
94116,0.6067,0.265,0.5288,0.9116,0.7617
94117,0.3643,0.0897,0.0806,0.728,0.9216
94118,0.5453,0.1937,0.3002,0.8419,0.8832
94121,0.6926,0.4021,0.5076,0.8765,0.8519
94122,0.6893,0.3879,0.4042,0.8935,0.9098
94123,0.2583,0.0296,0.0782,0.6591,0.8424
94124,0.9418,0.8813,0.8597,0.9724,0.9238
94127,0.4678,0.1329,0.4596,0.8464,0.6895
94129,0.22,0.0522,0.1686,0.7997,0.4759
94130,0.9683,0.9691,0.7633,0.9125,0.9604
94131,0.3691,0.055,0.1704,0.8186,0.835
94132,0.8231,0.6682,0.4538,0.9268,0.9518
94133,0.9112,0.8606,0.6989,0.9015,0.9324
94134,0.8422,0.7134,0.5444,0.9634,0.9163
94158,0.6054,0.2842,0.1638,0.9311,0.9604
94188,NA,NA,NA,NA,NA
